id,title,author_names,institution_names
LXVswInHOo,In-Context Pretraining: Language Modeling Beyond Document Boundaries,"['Weijia Shi', 'Sewon Min', 'Maria Lomeli', 'Chunting Zhou', 'Margaret Li', 'Gergely Szilvasy', 'Rich James', 'Xi Victoria Lin', 'Noah A. Smith', 'Luke Zettlemoyer', 'Scott Yih', 'Mike Lewis']","['Meta AI', 'University of Washington', 'Allen Institute for AI']"
SLw9fp4yI6,Controlled Text Generation via Language Model Arithmetic,"['Jasper Dekoninck', 'Marc Fischer', 'Luca Beurer-Kellner', 'Martin Vechev']",['ETH Zurich']
b3l0piOrGU,REPRESENTATION DEFICIENCY IN MASKED LANGUAGE MODELING,"['Yu Meng', 'Jitin Krishnan', 'Sinong Wang', 'Qifan Wang', 'Yuning Mao', 'Han Fang', 'Marjan Ghazvininejad', 'Jiawei Han', 'Luke Zettlemoyer']","['University of Illinois Urbana-Champaign', 'Meta AI']"
4olqbTBt1Y,DREAM: Dual Structured Exploration with Mixup for Open-set Graph Domain Adaption,"['Nan Yin', 'Mengzhu Wang', 'Li Shen', 'Zhenghan Chen', 'Huan Xiong', 'Bin Gu', 'Xiao Luo']","['Mohamed bin Zayed University of Artificial Intelligence', 'Hebei University of Technology', 'JD Explore Academy', 'Peking University', 'University of California, Los Angeles']"
