id,title,author_names,institution_names
CZiY6OLktd,MG-TSD: Multi-Granularity Time Series Diffusion Models with Guided Learning Process,"['Xinyao Fan', 'Yueying Wu', 'Chang Xu', 'Yuhao Huang', 'Weiqing Liu', 'Jiang Bian']","['University of British Columbia', 'Peking University', 'Nanjing University', 'Microsoft Research']"
MukGKGtgnr,Causal Structure Recovery with Latent Variables under Milder Distributional and Graphical Assumptions,"['Xiu-Chuan Li', 'Kun Zhang', 'Tongliang Liu']","['Sydney AI Centre, University of Sydney', 'Carnegie Mellon University', 'Mohamed bin Zayed University of Artificial Intelligence']"
cxfPefbu1s,Procedural Fairness Through Decoupling Objectionable Data Generating Components,"['Zeyu Tang', 'Jialu Wang', 'Yang Liu', 'Peter Spirtes', 'Kun Zhang']","['Carnegie Mellon University', 'University of California, Santa Cruz', 'Mohamed bin Zayed University of Artificial Intelligence', 'ByteDance Research']"
Rc7dAwVL3v,NaturalSpeech 2: Latent Diffusion Models are Natural and Zero-Shot Speech and Singing Synthesizers,"['Kai Shen', 'Zeqian Ju', 'Xu Tan', 'Yanqing Liu', 'Yichong Leng', 'Lei He', 'Tao Qin', 'Sheng Zhao', 'Jiang Bian']","['Zhejiang University', 'Microsoft Research Asia & Microsoft Azure Speech', 'University of Science and Technology of China']"
